enterer,entry_date,subject,DOT,DOB,age_group,order,item,label,story,polarity,condition,true_answer,response,correct,response_type,justification,just_type,include
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,one green bow,random,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,almost reach,scale,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,pink and green,,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,4,target,weight,neg,TWN,3,2,0,middle,try hard to pick up,random,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,5,target,capacity,neg,TCN,1,3,0,opposite,large cup matches her,random,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,6,filler,scale,neg,FSN,2,1,0,opposite,millie has the purple hat,,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,matches,,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,8,target,fit,pos,TFP,3,1,0,opposite,"sock fit him, but the others had same",scale,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,9,target,reach,pos,TRP,1,1,1,adult-like,so small,scale,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,10,filler,scale,pos,FSP,2,3,0,opposite,because he's orange,,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,he's blue,random,0
yadav,2018-01-27,1,2018-01-27,2012-06-13,5,NEG,12,target,capacity,pos,TCP,3,3,1,adult-like,has a lot,scale,0
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,littlest,scale,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,tall,scale,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,doesn't match,,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,big,scale,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,5,target,capacity,neg,TCN,1,1,1,adult-like,smallest,scale,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,yellow,,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,matches,,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,biggest,scale,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,9,target,reach,pos,TRP,1,1,1,adult-like,littlest,scale,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,middle,,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,littlest,scale,1
yadav,2018-01-27,2,2018-01-27,2013-01-19,5,NEG,12,target,capacity,pos,TCP,3,3,1,adult-like,biggest basket,scale,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,1,target,fit,neg,TFN,1,3,0,opposite,big,scale,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,"the others can't, and the big one can't",scale,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,shell doesn't match,,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,big,scale,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,5,target,capacity,neg,TCN,1,3,0,opposite,big,scale,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,yellow,,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,7,filler,sameness,pos,FMP,2,2,1,adult-like,yellow hat,,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,8,target,fit,pos,TFP,3,3,1,adult-like,big but socks are  small,scale,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,9,target,reach,pos,TRP,1,3,0,opposite,"tall, but can still reach",scale,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,10,filler,scale,pos,FSP,2,2,1,adult-like,medium backpack,,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,11,target,weight,pos,TWP,1,1,1,adult-like,smallest,scale,1
yadav,2018-01-27,3,2018-01-27,2012-05-14,5,NEG,12,target,capacity,pos,TCP,3,1,0,opposite,basket is small,scale,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,1,target,fit,neg,TFN,1,1,1,adult-like,i don't know ,none,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,2,target,reach,neg,TRN,3,3,1,adult-like,that's the longest,scale,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,3,filler,sameness,neg,FMN,2,2,1,adult-like,shell doesn't match,,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,4,target,weight,neg,TWN,3,3,1,adult-like,i don't know he's the big one,none,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,5,target,capacity,neg,TCN,1,3,0,opposite,he has the big cup,scale,1
yadav,2018-01-27,4,2018-01-27,2013-06-17,4,NEG,6,filler,scale,neg,FSN,2,2,1,adult-like,these guys got purple hats,,1
